pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
HALLMARK_COMPLEMENT,0.00137174211248285,0.00370864856846165,0.437369606259232,1.97368341944314,0,200,KYNU|S100A12|S100A9|ATOX1|CFB|LTF|IRF7|CASP4|RABIF|CTSC|PRSS3|GZMB|LAP3|PPP4C|CTSB|CASP7|KIF2A|CDK5R1|CASP1|MMP12|LCK|GZMA|PLSCR1|GNAI3|USP15|LYN|PCSK9|SERPINA1|CXCL1|IRF1|CEBPB|SPOCK2|LIPA|CTSD|PSMB9|RASGRP1|HSPA5|CALM1|PLAT|PLEK|RHOG|CASP10|EHD1|GMFB|CTSL|PREP|PFN1|PIM1|CD36|FCN1|ADAM9|CTSS|GRB2|LAMP2|CASP5|C2|PRDM4|IL6|RCE1|GZMK|DOCK9|PLAUR|LCP2|SIRT6|WAS|DUSP5|CASP3|APOBEC3G|MAFF|PIK3R5|CCL5|MSRB1|PHEX|LGMN|C1S|SERPINE1|DOCK10|DGKH|PRCP|GNGT2|STX4|CR1|SERPINB2|ME1|C1QC|KCNIP3|FCER1G|TMPRSS6|F2|PRKCD
HALLMARK_DNA_REPAIR,0.00139664804469274,0.00370864856846165,0.488664359316367,2.13261708208095,0,150,PNP|BOLA2|NME1|ELOA|NT5C3A|ZWINT|FEN1|TYMS|APRT|PCNA|POLR2H|RAD51|POLB|NUDT21|NELFCD|RPA3|RBX1|POLE4|SEC61A1|POLR2F|TAF10|CMPK2|NCBP2|RALA|STX3|UMPS|ITPA|TARBP2|RAE1|ALYREF|POLR1H|POLR2E|ADRM1|RFC5|RFC2|BCAP31|POLR1C|HPRT1|GTF2H1|POLD4|NELFE|GTF2B|SUPT4H1|POLR2D|TAF13|ELL|DUT|AK1|POLR2G|SNAPC5|CLP1|TMED2|COX17|POLR1D|GTF2F1|HCLS1|EDF1|POLA2|SSRP1|RFC3|ERCC8|MPG|POM121|TAF9|CETN2|CCNO|PRIM1
HALLMARK_E2F_TARGETS,0.00136239782016349,0.00370864856846165,0.679514882099416,3.06866104794786,0,199,RRM2|KPNA2|PTTG1|MELK|RAN|TK1|MKI67|BIRC5|JPT1|DDX39A|CDC20|DLGAP5|GINS3|CKS2|CDK1|CCNB2|GSPT1|SYNCRIP|AURKA|KIF2C|NME1|AK2|UBE2T|CDKN3|H2AZ1|TOP2A|H2AX|MAD2L1|CCNE1|AURKB|EIF2S1|RNASEH2A|KIF18B|TUBG1|KIF4A|CTPS1|TACC3|PCNA|SPAG5|RANBP1|TIMELESS|BUB1B|SPC25|CDCA3|TRIP13|TMPO|NUDT21|MCM5|CENPM|HMGB3|RPA3|CDCA8|CDC25A|EZH2|POLE4|MCM6|SRSF2|CDC25B|DIAPH3|MTHFD2|CHEK1|CENPE|MCM4|NAA38|HUS1|GINS1|ESPL1|DNMT1|ASF1B|LMNB1|UBE2S|CNOT9|MCM2|SNRPB|HMMR|RACGAP1|HELLS|SMC4|SPC24|MYBL2|PA2G4|NOP56|E2F8|TBRG4|MCM7|POLD2|TCF19|PLK1|ATAD2|TRA2B|ILF3|DEPDC1|RFC2|MCM3|ANP32E|XRCC6|BRCA1|MYC|SRSF1|RAD51AP1|NOLC1|NASP|STMN1|ORC6|LYAR|DONSON|KIF22|BRMS1L|BRCA2|CKS1B|DCLRE1B|DCTPP1|CDKN1A|CSE1L|GINS4|CHEK2|DUT|CDKN2A|PRKDC|TFRC|RPA1|HMGA1|POLA2|SSRP1|RFC3
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.00366300366300366,0.00704423781346858,-0.400165906382244,-2.01474104546716,0,200,SNTB1|TGFBI|DST|SDC4|TGFBR3|NOTCH2|MATN2|TPM1|NTM|EDIL3|PDLIM4|TIMP3|ITGB5|POSTN|PFN2|RHOB|ENO2|MYLK|PMP22|GREM1|FBLN1|SGCB|DPYSL3|TPM2|SGCG|DCN|FZD8|GAS1|MAGEE1|CD59|LAMC2|CALD1|MYL9|FERMT2|COL1A2|VIM|FN1|LAMC1|ABI3BP|ITGB1|TAGLN|MFAP5|ECM2|PMEPA1|FBLN5|CADM1|DAB2|NT5E|ACTA2|COL6A2|COL8A2|MGP|SGCD|COL3A1|SLIT2|LAMA3|DKK1|LGALS1|EFEMP2|COL12A1|FLNA|LOX|CXCL12|ELN|COL16A1|VEGFC|FGF2|PCOLCE2|SPARC|CAP2|GPC1|CDH11|SLIT3|MMP2|MXRA5|ITGA5|EMP3|LOXL1|FSTL1|ITGAV|CALU|COL5A3|FBLN2|COL7A1|PLOD3|VCAN|CDH2|MSX1|INHBA|PDGFRB|CCN2|ITGB3|LAMA2|PRRX1|SPOCK1|JUN|COL5A1|SDC1|FOXC2|HTRA1|SFRP1|GLIPR1|PCOLCE|MEST|BGN|THBS2
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.00732600732600733,0.0130821559392988,-0.286430340408777,-1.4421092708919,1,200,AFF1|RETREG1|CCND1|SYBU|FLNB|RHOBTB3|MSMB|WFS1|CHPT1|AR|DLC1|NCOR2|KDM4B|ADD3|BCL2|SYNGR1|GAB2|NBL1|INHBB|FARP1|ABHD2|ABCA3|MLPH|LRIG1|GFRA1|SVIL|AKAP1|OLFML3|FOXC1|PDLIM3|KRT15|MYOF|SLC22A5|MED13L|RAPGEFL1|TSKU|MAPT|PODXL|KLF4|CCN5|IGF1R|SH3BP5|PGR|BCL11B|SLC26A2|NPY1R|FKBP5|CYP26B1|HES1|TMEM164|RARA|WWC1|SCARB1|SLC7A2|IL6ST|ABAT|ADCY9|SEMA3B|PEX11A|MPPED2|PLAAT3|MINDY1|ARL3|KCNK5|FOS|FASN|KRT18|CXCL12|DHRS3|MUC1|KLF10|GREB1|KRT19|ELOVL5|INPP5F|SLC27A2|BAG1|PDZK1|ABLIM1|DEPTOR|KRT8|ADCY1|RPS6KA2|SNX24|TJP3|RET|CBFA2T3
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0356652949245542,0.0557270233196159,0.290044983735885,1.30886318367736,25,200,S100A9|TPBG|FABP5|CDC20|LTF|GFUS|KIF20A|SLC16A1|TOP2A|HR|ISG20|MAPK13|KLK10|SLC7A5|PPIF|ST14|RNASEH2A|GALE|SFN|RAB31|PTGER3|HSPA4L|GINS2|BTG3|PKP3|SERPINA1|CDC6|SGK1|STIL|IMPA2|SULT2B1|DUSP2|SLC24A3|OLFM1|AREG|SNX10|PTGES|BATF|NHERF1|HPRT1|GLA|ZFP36
HALLMARK_FATTY_ACID_METABOLISM,0.125,0.164473684210526,0.274500300116819,1.20453617168235,89,156,PTS|H2AZ1|UBE2L6|PSME1|HCCS|IL4I1|RDH16|MDH2|SUCLG1|GLUL|RAP1GDS1|HSD17B10|VNN1|METAP1|OSTC|ALDOA|CBR3|ADIPOR2|KMT5A|ADH7|IDH3B|ADSL|MIF|CBR1|LDHA|FH|ALDH3A1|CD36|HSPH1|SDHC|ACO2
HALLMARK_G2M_CHECKPOINT,0.00137174211248285,0.00370864856846165,0.629708719724884,2.84163700772368,0,200,KPNA2|PTTG1|MKI67|BIRC5|JPT1|DDX39A|CDC20|SLC7A1|UBE2C|UCK2|CKS2|CCNA2|CDK1|CCNB2|GSPT1|SYNCRIP|H2AZ2|AURKA|TFDP1|NDC80|KIF2C|CDKN3|H2AZ1|TOP1|PBK|TOP2A|NUSAP1|H2AX|TLE3|MAD2L1|NUP50|SLC7A5|AURKB|PRC1|KIF4A|NEK2|AMD1|TACC3|CENPF|TPX2|PTTG3P|TMPO|SNRPD1|TTK|PAFAH1B1|MCM5|DTYMK|BUB1|HMGB3|BUB3|GINS2|KNL1|CDC45|BCL3|DR1|CDC25A|EZH2|MAPK14|MCM6|SQLE|SRSF2|CDC25B|CHEK1|CDC6|KIF11|CENPE|HUS1|ESPL1|NSD2|LMNB1|UBE2S|MCM2|PRMT5|TROAP|STIL|HMMR|PML|CCNF|CENPA|DBF4|RACGAP1|SMC4|SS18|MYBL2|KIF23|FBXO5|KMT5A|EXO1|E2F3|PLK1|E2F2|G3BP1|TRA2B|ILF3|MCM3|SMC2|KIF15|MYC|HIF1A|SRSF1|NOLC1|NASP|STMN1|ORC6|RAD54L|KIF22|BRCA2|HSPA8|CKS1B|EWSR1|E2F4|DKC1
HALLMARK_GLYCOLYSIS,0.00137174211248285,0.00370864856846165,0.435709965930819,1.96619409107749,0,200,TPBG|PGAM1|PGM2|TPI1|CXCR4|DSC2|CDK1|GFUS|AURKA|KIF20A|PGK1|FAM162A|ENO1|PSMC4|ISG20|HK2|GOT2|ERO1A|ALDH7A1|PYGL|GALE|GMPPB|KIF2A|IL13RA1|MDH2|PPIA|TGFA|ANGPTL4|QSOX1|CHST6|HOMER1|BIK|COPB2|PMM2|ELF3|HMMR|GOT1|CENPA|ABCB6|RARS1|HSPA5|SLC25A13|GALK1|SRD5A3|ALDOA|HAX1|IGFBP3|SLC25A10|MIF|ALG1|LDHA|MPI|TALDO1|RPE|POLR3K|DEPDC1|GYS1|GPR87|NASP|STMN1|SDHC
HALLMARK_HEDGEHOG_SIGNALING,0.810945273631841,0.827495177175348,-0.215700288754599,-0.799594223019643,325,36,TLE1|PTCH1|NF1|DPYSL2|CDK6|RTN1|OPHN1|AMOT|NRP1
